"scenario_label","scenario_family","method_id","claim_regime","allocation_strategy","alpha","N","nrep","truth_delta_AB_minus_A","truth_delta_AB_minus_B","plan_delta_AB_minus_A","plan_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","allocation_A","allocation_B","allocation_AB","empirical_joint_success","empirical_joint_success_lcl","empirical_joint_success_ucl","analytic_joint_success","planned_analytic_joint_success","empirical_marginal_power_AB_minus_A","empirical_marginal_power_AB_minus_B"
"unequal_variance_positive","variance_sensitivity","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.292893,0.292893,0.414214,0.6993,0.695281,0.703319,0.697813,0.697813,0.80422,0.83746
"unequal_variance_positive","variance_sensitivity","plugin_iut_full","full_contribution","plugin_joint_success",0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.7036,0.699597,0.707603,0.706423,0.706423,0.80482,0.83474
"unequal_variance_positive","variance_sensitivity","conservative_iut_full","full_contribution","conservative_joint_success",0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.70486,0.700862,0.708858,0.706423,0.706423,0.80414,0.83584
"unequal_variance_positive","variance_sensitivity","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.70294,0.698935,0.706945,0.706423,0.706423,0.80074,0.83532
"unequal_variance_positive","variance_sensitivity","equal_maxT_separate","separate_component_claims","equal",0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.60098,0.596688,0.605272,0.600648,0.600648,0.72426,0.76364
"overoptimistic_planning","effect_misspecification","equal_iut_full","full_contribution","equal",0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,0.36298,0.358765,0.367195,0.359181,0.888537,0.5284,0.53152
"overoptimistic_planning","effect_misspecification","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.292893,0.292893,0.414214,0.35594,0.351743,0.360137,0.355662,0.895639,0.53702,0.53696
"overoptimistic_planning","effect_misspecification","plugin_iut_full","full_contribution","plugin_joint_success",0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,0.36196,0.357748,0.366172,0.359181,0.888537,0.52732,0.52306
"overoptimistic_planning","effect_misspecification","conservative_iut_full","full_contribution","conservative_joint_success",0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,0.35896,0.354755,0.363165,0.359181,0.888537,0.52252,0.52678
"overoptimistic_planning","effect_misspecification","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,0.36194,0.357728,0.366152,0.359181,0.888537,0.52752,0.52722
"overoptimistic_planning","effect_misspecification","equal_maxT_separate","separate_component_claims","equal",0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,0.26572,0.261848,0.269592,0.261888,0.828264,0.4274,0.42802
"reversed_limiting_component","allocation_fragility","equal_iut_full","full_contribution","equal",0.025,260,50000,0.25,0.55,0.55,0.25,0,0,0.333333,0.333333,0.333333,0.37546,0.371215,0.379705,0.373035,0.373035,0.37838,0.94926
"reversed_limiting_component","allocation_fragility","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,260,50000,0.25,0.55,0.55,0.25,0,0,0.292893,0.292893,0.414214,0.3846,0.380336,0.388864,0.381363,0.381363,0.38928,0.95582
"reversed_limiting_component","allocation_fragility","plugin_iut_full","full_contribution","plugin_joint_success",0.025,260,50000,0.25,0.55,0.55,0.25,0,0,0.21446,0.391672,0.393868,0.32556,0.321453,0.329667,0.322488,0.416894,0.3271,0.97504
"reversed_limiting_component","allocation_fragility","conservative_iut_full","full_contribution","conservative_joint_success",0.025,260,50000,0.25,0.55,0.55,0.25,0,0,0.287045,0.357952,0.355004,0.36434,0.360122,0.368558,0.359783,0.392417,0.36674,0.96244
"reversed_limiting_component","allocation_fragility","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,260,50000,0.25,0.55,0.55,0.25,0,0,0.207724,0.396138,0.396138,0.3181,0.314018,0.322182,0.317135,0.418622,0.31968,0.97636
"reversed_limiting_component","allocation_fragility","equal_maxT_separate","separate_component_claims","equal",0.025,260,50000,0.25,0.55,0.55,0.25,0,0,0.333333,0.333333,0.333333,0.28276,0.278813,0.286707,0.281538,0.281538,0.28632,0.91818
"additive_positive_excess","synergy_motivation","equal_iut_full","full_contribution","equal",0.025,320,50000,0.35,0.3,0.35,0.3,0,0,0.333333,0.333333,0.333333,0.50538,0.500998,0.509762,0.497221,0.497221,0.73012,0.5982
"additive_positive_excess","synergy_motivation","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,320,50000,0.35,0.3,0.35,0.3,0,0,0.292893,0.292893,0.414214,0.50522,0.500838,0.509602,0.500012,0.500012,0.73906,0.60842
"additive_positive_excess","synergy_motivation","plugin_iut_full","full_contribution","plugin_joint_success",0.025,320,50000,0.35,0.3,0.35,0.3,0,0,0.278742,0.332684,0.388573,0.50332,0.498937,0.507703,0.504399,0.504399,0.70956,0.62226
"additive_positive_excess","synergy_motivation","conservative_iut_full","full_contribution","conservative_joint_success",0.025,320,50000,0.35,0.3,0.35,0.3,0,0,0.313311,0.347722,0.338967,0.50194,0.497557,0.506323,0.500899,0.500899,0.71588,0.60406
"additive_positive_excess","synergy_motivation","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,320,50000,0.35,0.3,0.35,0.3,0,0,0.213675,0.38787,0.398455,0.48956,0.485178,0.493942,0.487237,0.487237,0.64576,0.66442
"additive_positive_excess","synergy_motivation","equal_maxT_separate","separate_component_claims","equal",0.025,320,50000,0.35,0.3,0.35,0.3,0,0,0.333333,0.333333,0.333333,0.39434,0.390056,0.398624,0.389519,0.389519,0.63518,0.494
