"scenario_id","scenario_label","scenario_family","method_id","claim_regime","adjustment_method","allocation_strategy","alpha","N","truth_delta_AB_minus_A","truth_delta_AB_minus_B","plan_delta_AB_minus_A","plan_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","allocation_A","allocation_B","allocation_AB","n_A","n_B","n_AB","planned_analytic_joint_success"
"positive_margin__alpha_0p050","positive_margin","margin_sensitivity","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.05,280,0.55,0.55,0.55,0.55,0.1,0.1,0.292893,0.292893,0.414214,82,82,116,0.875754
"positive_margin__alpha_0p050","positive_margin","margin_sensitivity","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.05,280,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,94,93,93,0.86897
"positive_margin__alpha_0p050","positive_margin","margin_sensitivity","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.05,280,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,94,93,93,0.86897
"positive_margin__alpha_0p050","positive_margin","margin_sensitivity","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.05,280,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,94,93,93,0.86897
"positive_margin__alpha_0p050","positive_margin","margin_sensitivity","equal_maxT_separate","separate_component_claims","maxT","equal",0.05,280,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,94,93,93,0.796483
"unequal_variance_positive__alpha_0p050","unequal_variance_positive","variance_sensitivity","equal_iut_full","full_contribution","iut","equal",0.05,270,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,90,90,90,0.812874
"unequal_variance_positive__alpha_0p050","unequal_variance_positive","variance_sensitivity","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.05,270,0.45,0.45,0.45,0.45,0,0,0.292893,0.292893,0.414214,79,79,112,0.807398
"unequal_variance_positive__alpha_0p050","unequal_variance_positive","variance_sensitivity","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.05,270,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,90,90,90,0.812874
"unequal_variance_positive__alpha_0p050","unequal_variance_positive","variance_sensitivity","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.05,270,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,90,90,90,0.812874
"unequal_variance_positive__alpha_0p050","unequal_variance_positive","variance_sensitivity","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.05,270,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,90,90,90,0.812874
"unequal_variance_positive__alpha_0p050","unequal_variance_positive","variance_sensitivity","equal_maxT_separate","separate_component_claims","maxT","equal",0.05,270,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,90,90,90,0.718454
"heavy_tail_global_null__alpha_0p050","heavy_tail_global_null","distribution_sensitivity","equal_iut_full","full_contribution","iut","equal",0.05,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.892281
"heavy_tail_global_null__alpha_0p050","heavy_tail_global_null","distribution_sensitivity","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.05,300,0,0,0.45,0.45,0,0,0.292893,0.292893,0.414214,88,88,124,0.89852
"heavy_tail_global_null__alpha_0p050","heavy_tail_global_null","distribution_sensitivity","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.05,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.892281
"heavy_tail_global_null__alpha_0p050","heavy_tail_global_null","distribution_sensitivity","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.05,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.892281
"heavy_tail_global_null__alpha_0p050","heavy_tail_global_null","distribution_sensitivity","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.05,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.892281
"heavy_tail_global_null__alpha_0p050","heavy_tail_global_null","distribution_sensitivity","equal_maxT_separate","separate_component_claims","maxT","equal",0.05,300,0,0,0.45,0.45,0,0,0.333333,0.333333,0.333333,100,100,100,0.828066
"overoptimistic_planning__alpha_0p050","overoptimistic_planning","effect_misspecification","equal_iut_full","full_contribution","iut","equal",0.05,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.940207
"overoptimistic_planning__alpha_0p050","overoptimistic_planning","effect_misspecification","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.05,240,0.32,0.32,0.55,0.55,0,0,0.292893,0.292893,0.414214,70,70,100,0.945008
"overoptimistic_planning__alpha_0p050","overoptimistic_planning","effect_misspecification","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.05,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.940207
"overoptimistic_planning__alpha_0p050","overoptimistic_planning","effect_misspecification","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.05,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.940207
"overoptimistic_planning__alpha_0p050","overoptimistic_planning","effect_misspecification","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.05,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.940207
"overoptimistic_planning__alpha_0p050","overoptimistic_planning","effect_misspecification","equal_maxT_separate","separate_component_claims","maxT","equal",0.05,240,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,80,80,80,0.89718
"reversed_limiting_component__alpha_0p050","reversed_limiting_component","allocation_fragility","equal_iut_full","full_contribution","iut","equal",0.05,260,0.25,0.55,0.55,0.25,0,0,0.333333,0.333333,0.333333,87,87,86,0.497518
"reversed_limiting_component__alpha_0p050","reversed_limiting_component","allocation_fragility","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.05,260,0.25,0.55,0.55,0.25,0,0,0.292893,0.292893,0.414214,76,76,108,0.506801
"reversed_limiting_component__alpha_0p050","reversed_limiting_component","allocation_fragility","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.05,260,0.25,0.55,0.55,0.25,0,0,0.207622,0.39491,0.397468,54,103,103,0.547735
"reversed_limiting_component__alpha_0p050","reversed_limiting_component","allocation_fragility","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.05,260,0.25,0.55,0.55,0.25,0,0,0.164493,0.386351,0.449156,43,100,117,0.552519
"reversed_limiting_component__alpha_0p050","reversed_limiting_component","allocation_fragility","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.05,260,0.25,0.55,0.55,0.25,0,0,0.202947,0.398527,0.398527,53,104,103,0.548691
"reversed_limiting_component__alpha_0p050","reversed_limiting_component","allocation_fragility","equal_maxT_separate","separate_component_claims","maxT","equal",0.05,260,0.25,0.55,0.55,0.25,0,0,0.333333,0.333333,0.333333,87,87,86,0.389978
"additive_positive_excess__alpha_0p050","additive_positive_excess","synergy_motivation","equal_iut_full","full_contribution","iut","equal",0.05,320,0.35,0.3,0.35,0.3,0,0,0.333333,0.333333,0.333333,107,107,106,0.630753
"additive_positive_excess__alpha_0p050","additive_positive_excess","synergy_motivation","shared_arm_iut_full","full_contribution","iut","shared_arm_benchmark",0.05,320,0.35,0.3,0.35,0.3,0,0,0.292893,0.292893,0.414214,94,94,132,0.63543
"additive_positive_excess__alpha_0p050","additive_positive_excess","synergy_motivation","plugin_iut_full","full_contribution","iut","plugin_joint_success",0.05,320,0.35,0.3,0.35,0.3,0,0,0.275691,0.331902,0.392407,88,106,126,0.639363
"additive_positive_excess__alpha_0p050","additive_positive_excess","synergy_motivation","conservative_iut_full","full_contribution","iut","conservative_joint_success",0.05,320,0.35,0.3,0.35,0.3,0,0,0.315049,0.340725,0.344226,101,109,110,0.634915
"additive_positive_excess__alpha_0p050","additive_positive_excess","synergy_motivation","marginal_iut_full","full_contribution","iut","marginal_power_comparator",0.05,320,0.35,0.3,0.35,0.3,0,0,0.202887,0.31983,0.477282,65,102,153,0.616021
"additive_positive_excess__alpha_0p050","additive_positive_excess","synergy_motivation","equal_maxT_separate","separate_component_claims","maxT","equal",0.05,320,0.35,0.3,0.35,0.3,0,0,0.333333,0.333333,0.333333,107,107,106,0.516229
