"scenario_label","scenario_family","method_id","claim_regime","allocation_strategy","alpha","N","nrep","truth_delta_AB_minus_A","truth_delta_AB_minus_B","plan_delta_AB_minus_A","plan_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","allocation_A","allocation_B","allocation_AB","empirical_joint_success","empirical_joint_success_lcl","empirical_joint_success_ucl","analytic_joint_success","planned_analytic_joint_success","empirical_marginal_power_AB_minus_A","empirical_marginal_power_AB_minus_B"
"overoptimistic_planning","effect_misspecification","equal_iut_full","full_contribution","equal",0.025,240,3000,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,0.338667,0.321731,0.355602,0.359181,0.888537,0.512,0.511667
"overoptimistic_planning","effect_misspecification","plugin_iut_full","full_contribution","plugin_joint_success",0.025,240,3000,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,0.370333,0.353053,0.387613,0.359181,0.888537,0.536,0.533667
"overoptimistic_planning","effect_misspecification","conservative_iut_full","full_contribution","conservative_joint_success",0.025,240,3000,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,0.372,0.354704,0.389296,0.359181,0.888537,0.532,0.536
"overoptimistic_planning","effect_misspecification","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,240,3000,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,0.377333,0.359988,0.394679,0.359181,0.888537,0.531,0.555667
"overoptimistic_planning","effect_misspecification","equal_maxT_separate","separate_component_claims","equal",0.025,240,3000,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,0.263,0.247245,0.278755,0.261888,0.828264,0.414333,0.428667
"reversed_limiting_component","allocation_fragility","equal_iut_full","full_contribution","equal",0.025,260,3000,0.25,0.55,0.55,0.25,0,0,0.333333,0.333333,0.333333,0.362667,0.345463,0.379871,0.373035,0.373035,0.367333,0.947333
"reversed_limiting_component","allocation_fragility","plugin_iut_full","full_contribution","plugin_joint_success",0.025,260,3000,0.25,0.55,0.55,0.25,0,0,0.21446,0.391672,0.393868,0.322667,0.305938,0.339396,0.322488,0.416894,0.323333,0.977
"reversed_limiting_component","allocation_fragility","conservative_iut_full","full_contribution","conservative_joint_success",0.025,260,3000,0.25,0.55,0.55,0.25,0,0,0.287045,0.357952,0.355004,0.366667,0.349422,0.383911,0.359783,0.392417,0.369667,0.962667
"reversed_limiting_component","allocation_fragility","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,260,3000,0.25,0.55,0.55,0.25,0,0,0.207724,0.396138,0.396138,0.326,0.309226,0.342774,0.317135,0.418622,0.327667,0.980333
"reversed_limiting_component","allocation_fragility","equal_maxT_separate","separate_component_claims","equal",0.025,260,3000,0.25,0.55,0.55,0.25,0,0,0.333333,0.333333,0.333333,0.279,0.26295,0.29505,0.281538,0.281538,0.281333,0.921333
"additive_positive_excess","synergy_motivation","equal_iut_full","full_contribution","equal",0.025,320,3000,0.35,0.3,0.35,0.3,0,0,0.333333,0.333333,0.333333,0.514333,0.496448,0.532218,0.497221,0.497221,0.737667,0.608333
"additive_positive_excess","synergy_motivation","plugin_iut_full","full_contribution","plugin_joint_success",0.025,320,3000,0.35,0.3,0.35,0.3,0,0,0.278742,0.332684,0.388573,0.510667,0.492778,0.528555,0.504399,0.504399,0.716,0.627333
"additive_positive_excess","synergy_motivation","conservative_iut_full","full_contribution","conservative_joint_success",0.025,320,3000,0.35,0.3,0.35,0.3,0,0,0.313311,0.347722,0.338967,0.512333,0.494447,0.53022,0.500899,0.500899,0.709333,0.623
"additive_positive_excess","synergy_motivation","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,320,3000,0.35,0.3,0.35,0.3,0,0,0.213675,0.38787,0.398455,0.507,0.489109,0.524891,0.487237,0.487237,0.648333,0.678333
"additive_positive_excess","synergy_motivation","equal_maxT_separate","separate_component_claims","equal",0.025,320,3000,0.35,0.3,0.35,0.3,0,0,0.333333,0.333333,0.333333,0.389333,0.371885,0.406782,0.389519,0.389519,0.641667,0.488667
