Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-2182,CKX620,MAPK,single,170.7,21,29.44,13,18.46291866,27,PD
X-2182,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,192.5,22,68.58,15,9.269141531,24,PD
X-2182,HDM201,MDM2,single,361,18,162.26,13,3.501697793,18,PD
X-2182,LEE011,"CDK4,CDK6,CDK4/6",single,553.9,18,181.54,13,4.373617021,18,PD
X-2182,encorafenib,BRAF,single,755.5,10,304.025,10,3,10,PD
X-2182,LJC049,TNKS,single,842.2,7,386.9,7,3,7,PD
X-2182,LKA136,"NTRK1,NTRK2,NTRK3",single,823.9,18,183.06,15,4.92747784,18,PD
X-2182,binimetinib,"MAP2K1,MAP2K2,MAPK",single,490.6,16,172.44,13,5.358381503,16,PD
X-2182,untreated,"UNKNOWN,Untreated",single,336.3,21,55.175,12,10.62921348,21,PD
X-2182,LFW527 + binimetinib,"IGF1R,MAP2K1,MAP2K2",combo,423.3,18,112.86,13,5.524495677,18,PD
X-2195,BGJ398,FGFR,single,133.6,34,20.85,12,23.96015936,37,PD
X-2195,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,108.2,27,37.55,12,25.25531915,37,PD
X-2195,BYL719,PIK3CA,single,145.4,27,49.725,12,13.60995851,37,PD
X-2195,BYL719 + LEE011,"PIK3CA,CDK4/6",combo,-60.7,21,-30.96666667,21,21,21,PR
X-2195,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,-0.6,10,-12.96,14,22.6779661,35,SD-->PD
X-2195,CGM097,MDM2,single,-16.5,16,8.755555556,37,37,37,SD
X-2195,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,131.3,27,33.625,12,22.11890838,27,PD
X-2195,HDM201,MDM2,single,-8,28,7.24,13,38,38,SD
X-2195,INC424,JAK,single,-13.3,9,-4.14,12,27.41211604,30,SD-->PD
X-2195,LEE011,"CDK4,CDK6,CDK4/6",single,25,18,20.56666667,11,24,24,SD
X-2195,LEE011 + everolimus,"CDK4,CDK6,MTOR,CDK4/6",combo,-100,35,-58.84782609,80,80,80,CR
X-2195,LFA102,PRLR,single,34.8,21,4.4,15,21,21,SD-->PD
X-2195,LJM716,ERBB3,single,223.1,21,51.23333333,11,10.01138211,24,PD
X-2195,LJM716 + trastuzumab,"ERBB3,ERBB2",combo,244,20,62.34,14,11.66086957,28,PD
X-2195,LKA136,"NTRK1,NTRK2,NTRK3",single,7.3,15,1.9,15,35.95518868,50,SD-->PD
X-2195,LLM871,FGFR2/4,single,-54.3,25,-9.6125,31,46.99250936,64,SD-->PD
X-2195,binimetinib,"MAP2K1,MAP2K2,MAPK",single,61.9,25,13,11,31.70028818,32,PD
X-2195,paclitaxel,Tubulin,single,172.5,20,58.88,14,11.40438871,28,PD
X-2195,tamoxifen,ESR1,single,-25.8,11,-13.6,11,31,31,SD-->PD
X-2195,trastuzumab,ERBB2,single,187.5,21,44.2,15,14.88936782,21,PD
X-2195,untreated,"UNKNOWN,Untreated",single,289.5,27,77.325,12,7.667731629,37,PD
X-2220,figitumumab,IGF1R,single,100,5,50,5,5,5,PD
X-2220,WNT974,PORCN,single,430.2,15,215.925,13,6,15,PD
X-2220,LKA136,"NTRK1,NTRK2,NTRK3",single,498.8,13,189.32,13,4.304832714,13,PD
X-2220,trametinib,MAPK,single,153.3,22,73.275,12,7.71182266,29,PD
X-2220,untreated,"UNKNOWN,Untreated",single,609.2,16,269.6,13,6,16,PD
X-2239,5FU,chemotherapy,single,26.2,21,13,13,21,21,SD-->PD
X-2239,BKM120 + LJC049,"panPI3K,TNKS",combo,109.5,21,25.7,13,19.5,48,PD
X-2239,BYL719,PIK3CA,single,109.8,21,36.78,13,20.19672131,55,PD
X-2239,BYL719 + cetuximab,"PIK3CA,EGFR",combo,108.1,23,15.48,12,20.98757764,40,PD
X-2239,BYL719 + cetuximab + encorafenib,"PIK3CA,EGFR,BRAF",combo,-21.7,10,-8.95,18,41,41,SD
X-2239,BYL719 + encorafenib,"PIK3CA,BRAF",combo,-50.7,37,-31.68333333,56,56,56,PR
X-2239,BYL719 + binimetinib,"PIK3CA,MAPK",combo,-14.5,18,-4.525,24,43,43,SD
X-2239,cetuximab,EGFR,single,194.2,24,27.55,13,17.33013436,28,PD
X-2239,cetuximab + encorafenib,"EGFR,BRAF",combo,-38.8,34,-23.33076923,41,43,43,SD
X-2239,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,52.5,21,20.54,13,31.93913043,55,PD
X-2239,LEE011,"CDK4,CDK6,CDK4/6",single,-32.2,51,-18.38666667,51,70,70,SD-->PD
